loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,inq_last_6mths,pub_rec,total_acc,pub_rec_bankruptcies,issue_year,issue_month
2500,2500,2500,60,15.27,C,< 1,RENT,30000,Source Verified,1,car,GA,5,0,4,0,11,Dec
10000,10000,10000,36,13.49,C,10+,RENT,49200,Source Verified,0,other,CA,1,0,37,0,11,Dec
3000,3000,3000,60,12.69,B,1,RENT,80000,Source Verified,0,other,OR,0,0,38,0,11,Dec
5000,5000,5000,36,7.9,A,3,RENT,36000,Source Verified,0,wedding,AZ,3,0,12,0,11,Dec
7000,7000,7000,60,15.96,C,8,RENT,47004,Not Verified,0,debt_consolidation,NC,1,0,11,0,11,Dec
3000,3000,3000,36,18.64,E,9,RENT,48000,Source Verified,0,car,CA,2,0,4,0,11,Dec
5375,5375,5350,60,12.69,B,< 1,RENT,15000,Verified,1,other,TX,0,0,3,0,11,Dec
6500,6500,6500,60,14.65,C,5,OWN,72000,Not Verified,0,debt_consolidation,AZ,2,0,23,0,11,Dec
12000,12000,12000,36,12.69,B,10+,OWN,75000,Source Verified,0,debt_consolidation,CA,0,0,34,0,11,Dec
9000,9000,9000,36,13.49,C,< 1,RENT,30000,Source Verified,1,debt_consolidation,VA,1,0,9,0,11,Dec
3000,3000,3000,36,9.91,B,3,RENT,15000,Source Verified,0,credit_card,IL,2,0,11,0,11,Dec
10000,10000,10000,36,10.65,B,3,RENT,100000,Source Verified,1,other,CA,2,0,29,0,11,Dec
1000,1000,1000,36,16.29,D,< 1,RENT,28000,Not Verified,0,debt_consolidation,MO,1,0,23,0,11,Dec
10000,10000,10000,36,15.27,C,4,RENT,42000,Not Verified,0,home_improvement,CA,2,0,28,0,11,Dec
3600,3600,3600,36,6.03,A,10+,MORTGAGE,110000,Not Verified,0,major_purchase,CT,0,0,42,0,11,Dec
6000,6000,6000,36,11.71,B,1,MORTGAGE,84000,Verified,0,medical,UT,0,0,14,0,11,Dec
9200,9200,9200,36,6.03,A,6,RENT,77385.19,Not Verified,0,debt_consolidation,CA,0,0,28,0,11,Dec
20250,20250,19142.16108,60,15.27,C,3,RENT,43370,Verified,0,debt_consolidation,TX,3,0,22,0,11,Dec
21000,21000,21000,36,12.42,B,10+,RENT,105000,Verified,1,debt_consolidation,FL,0,0,38,0,11,Dec
10000,10000,10000,36,11.71,B,10+,OWN,50000,Source Verified,0,credit_card,TX,0,0,21,0,11,Dec
10000,10000,10000,36,11.71,B,5,RENT,50000,Not Verified,0,debt_consolidation,CA,0,0,17,0,11,Dec
6000,6000,6000,36,11.71,B,1,RENT,76000,Not Verified,1,major_purchase,CA,1,0,7,0,11,Dec
15000,15000,15000,36,9.91,B,2,MORTGAGE,92000,Verified,0,credit_card,IL,0,0,31,0,11,Dec
5000,5000,5000,60,16.77,D,2,RENT,50004,Not Verified,1,other,PA,0,0,22,0,11,Dec
4000,4000,4000,36,11.71,B,10+,MORTGAGE,106000,Not Verified,0,debt_consolidation,FL,0,0,44,0,11,Dec
8500,8500,8500,36,11.71,B,< 1,RENT,25000,Source Verified,0,credit_card,MN,0,0,12,0,11,Dec
31825,31825,31825,36,7.9,A,5,MORTGAGE,75000,Verified,0,debt_consolidation,NJ,0,0,26,0,11,Dec
